gen,cand,parent,mutation,params,macs,peak_act,acc,fitness,deployable,train_s,genome
4,1,best,drop block1,38370,9227520,32768,0.45,0.21901846411260506,1,131.2283775419928,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
4,2,best,insert block after 3,67042,4483328,12288,0.0,-inf,0,0.0,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 7}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
4,3,best,kind block0 shift->asym,48546,3356928,12288,0.5045,0.28025809043845273,1,149.232436374994,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
5,0,best,stride block4 1->2,48546,2570496,12288,0.505,0.2830765923210903,1,148.86173166698427,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
5,1,best,width block0 48->128,59266,3681536,32768,0.0,-inf,0,0.0,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
5,2,best,stride block3 1->2,48546,1761024,12288,0.5025,0.283861625473647,1,153.410640334012,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
5,3,best,drop block0,44514,1243392,6144,0.452,0.23713790619501024,1,121.69185350000043,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
6,0,best,insert block after 3,66210,2035456,12288,0.0,-inf,0,0.0,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 3}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
6,1,best,drop block2,39138,1171200,12288,0.4825,0.26927540614759105,1,152.12190087500494,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
6,2,best,drop block0,44514,1243392,6144,0.452,0.23713790619501024,1,122.88181129199802,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
6,3,best,kernel block3 5->3,48162,1745664,12288,0.494,0.27550669661766203,1,174.97552079198067,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 3}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
7,0,best,kernel block0 3->7,48738,1810176,12288,0.4695,0.25058822987652346,1,153.38688941701548,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 7}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
7,1,best,width block0 48->32,46402,1538816,8192,0.4845,0.2674255321395669,1,148.1268246670079,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 32, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
7,2,best,insert block after 3,65186,2023168,12288,0.0,-inf,0,0.0,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
7,3,best,insert block after 2,57954,2350848,12288,0.0,-inf,0,0.0,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 7}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
8,0,best,kind block4 shift->asym,49570,1768704,12288,0.5005,0.28164251846198207,1,227.39729158300906,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
8,1,best,kernel block3 5->7,48930,1776384,12288,0.4915,0.2727177586287586,1,182.9639407909999,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 7}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
8,2,best,act leak 2^-4->2^-5,48546,1761024,12288,0.4905,0.27186162547364706,1,167.789968957979,"{""stem_width"": 24, ""act_shift"": 5, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
8,3,best,stride block3 2->1,48546,2570496,12288,0.505,0.2830765923210903,1,156.4472839590162,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""asym"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 2, ""k"": 3}]}"
